Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID
"Vahdatnia, Mahdieh",56951289800,1,"Engineering
Materials Science
",
"Sedighi, Kurosh",24778841600,114,"Engineering
Physics and Astronomy
Chemical Engineering
Energy
Mathematics
Materials Science
Computer Science
Chemistry
Environmental Science
Earth and Planetary Sciences
Multidisciplinary
",
"Sheikhpour, Majid",57215205475,1,"Engineering
Physics and Astronomy
",
"Alavi-Hashemi, Hasan",37060413300,1,"Engineering
Computer Science
",0000-0003-0906-6703
"Ezzati, M.",57202840612,1,"Materials Science
Engineering
Mathematics
Computer Science
",
"Zadeh, Ataollah Ebrahim",23487358400,9,"Computer Science
Engineering
Mathematics
Medicine
",
"Pourali, Seyedeh Masoomeh",25722233400,8,"Chemistry
Biochemistry, Genetics and Molecular Biology
Materials Science
Energy
Physics and Astronomy
Pharmacology, Toxicology and Pharmaceutics
Engineering
",
"Ebrahimzade, Ataollah",57210302522,2,"Computer Science
Physics and Astronomy
Engineering
Neuroscience
",
"Jahanian, Omid",24448138000,28,"Energy
Engineering
Physics and Astronomy
Chemistry
Environmental Science
Chemical Engineering
Earth and Planetary Sciences
Mathematics
Materials Science
",0000-0002-5968-5185
"Dorcheh, Sobhan Mosayebi",57195302681,2,"Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Immunology and Microbiology
",
"Akhoundzadeh, Hossein",57200693030,4,"Energy
Chemistry
Physics and Astronomy
Materials Science
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Engineering
",
"Aghdam, U. Besharati",55388093400,1,"Chemical Engineering
",
"Mirnia, Mohammad Javad",35345089400,32,"Engineering
Computer Science
Materials Science
Physics and Astronomy
Business, Management and Accounting
Decision Sciences
",0000-0003-1049-9565
"Aghanejad Ahmadchally, Alireza",57223297841,1,"Mathematics
Engineering
Physics and Astronomy
Materials Science
",
"Sheikholeslami, Abdolreza",36640617000,62,"Engineering
Computer Science
Energy
Mathematics
Physics and Astronomy
Environmental Science
Multidisciplinary
Chemical Engineering
Materials Science
Social Sciences
",
"Ghoreishian, Mohammad Javad",57218917834,1,"Engineering
",
"Hosseimpour, S. J.",37019859200,2,"Physics and Astronomy
",
"Bikdeli, Efaf",57226635970,1,"Engineering
",
"Bali Eslami, Ali",57214097686,1,"Chemistry
Chemical Engineering
",
"Ghaemi, N.",57191410422,1,"Engineering
",
"Kachapi, Sayyid Habibollah Hashemi",55885665400,32,"Engineering
Mathematics
Physics and Astronomy
Materials Science
Chemical Engineering
Economics, Econometrics and Finance
Medicine
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
",
"Hasanpour, A.",26423651300,18,"Engineering
Physics and Astronomy
Energy
Chemical Engineering
Mathematics
Environmental Science
Multidisciplinary
Materials Science
Chemistry
Computer Science
",
"Alipour, Mohammad",56707046300,1,"Engineering
Physics and Astronomy
Materials Science
",
"Kakooei, Mohammad",56898969100,15,"Earth and Planetary Sciences
Computer Science
Engineering
Physics and Astronomy
Energy
",0000-0002-2318-8216
"Sarvary, Afshin",16040150400,38,"Chemistry
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Chemical Engineering
Computer Science
Environmental Science
Mathematics
",
"Ahangar, Hossein Abdollahzadeh",57348187500,1,"Mathematics
Computer Science
",
"Ebrahimi Ghadi, M.",57202356271,1,"Environmental Science
Agricultural and Biological Sciences
",
"Shabani, S.",57212966801,1,"Engineering
",
"Rahmati, Zahra",57198420602,9,"Materials Science
Physics and Astronomy
Chemistry
Engineering
",
"Taleshian, Tahereh",55887910300,2,"Computer Science
Engineering
",
"Kheirtalab, Mina",57218293110,1,"Environmental Science
Engineering
Chemical Engineering
",
"Afaghi-Darabi, Alireza",57196043113,2,"Engineering
Materials Science
",
"Hassanzadeh Afrouzi, Hamid",55672383300,39,"Physics and Astronomy
Engineering
Chemistry
Computer Science
Materials Science
Mathematics
Energy
Chemical Engineering
Environmental Science
Medicine
Biochemistry, Genetics and Molecular Biology
Earth and Planetary Sciences
",0000-0002-1920-4148
"Ghaleh, M. Heidari",57219228745,1,"Engineering
Materials Science
",
"Fathi, B.",57190283917,1,"Engineering
Mathematics
",
"Hoseini, Naghi",57215497977,1,"Engineering
Energy
Environmental Science
Mathematics
",
"Heidarzadeh, Yeganeh",57218923973,1,"Physics and Astronomy
",
"Hashemi, S. K.",56227055000,4,"Engineering
Arts and Humanities
Computer Science
",
"Mousavi, A.",57201602378,1,"Engineering
",
"Mehdipour, Hassan",57126080100,3,"Energy
Materials Science
Chemical Engineering
Environmental Science
Chemistry
",
"Mahmoodi, Mehdi",57200794222,1,"Energy
Earth and Planetary Sciences
",
"Hedayati, Rouhollah",55039074800,3,"Environmental Science
Psychology
Energy
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Agricultural and Biological Sciences
Chemistry
Immunology and Microbiology
Materials Science
",
"Afrasiab, Hamed",15750062900,20,"Engineering
Materials Science
Mathematics
Computer Science
Physics and Astronomy
Chemistry
Environmental Science
Energy
",
"Aval, Hamed Jamshidi",57325518300,2,"Engineering
Materials Science
",
"Sadeghian, Samin",56736044200,1,"Engineering
Computer Science
",
"Naghibi, Seyyed Esmaeel",55386183800,4,"Physics and Astronomy
Energy
Materials Science
Mathematics
Engineering
",
"Jamshidi, M.",57196978643,1,"Physics and Astronomy
",
"Bozorgzadeh, Ali",57214469853,1,"Physics and Astronomy
Chemistry
",
"Ta'negonbadi, Bahram",57195409230,5,"Engineering
Earth and Planetary Sciences
Physics and Astronomy
Materials Science
Social Sciences
Chemistry
Computer Science
",
"Mirzagoltabar, A. R.",56602924300,4,"Engineering
Environmental Science
",
"Shahrezaei, Kamran",57212101467,1,"Chemical Engineering
Chemistry
",
"Jafari-Nokandi, Meysam",57195108085,10,"Engineering
Energy
Mathematics
Social Sciences
Computer Science
",
"Sheikholeslami, Zahra",26024834800,3,"Physics and Astronomy
Chemistry
Materials Science
",
"Mahdinejad, J.",56669848200,2,"Engineering
Medicine
",
"Fatemi, Sakine",24767797500,2,"Energy
Environmental Science
",
"Habibzadeh, Setareh",6603022730,30,"Chemistry
Pharmacology, Toxicology and Pharmaceutics
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Physics and Astronomy
Materials Science
Engineering
Computer Science
",
"Gholamzadeh, M.",57189023934,1,"Physics and Astronomy
",
"Tavangar, Yashar",57190878123,3,"Engineering
Earth and Planetary Sciences
Materials Science
Multidisciplinary
Environmental Science
",
"Valiallah Mousavi, S.",57191415521,1,"Physics and Astronomy
",
"Dehghan, Zohreh",57195503757,1,"Engineering
Materials Science
",
"Noorzad, Reza",26635743800,31,"Engineering
Earth and Planetary Sciences
Agricultural and Biological Sciences
Environmental Science
Materials Science
Physics and Astronomy
Chemistry
Computer Science
Multidisciplinary
Social Sciences
",
"Lotfi, Amir Hossein",56078957400,2,"Engineering
Computer Science
Physics and Astronomy
Materials Science
",
"Yaqoubnejad, Poone",57219377668,3,"Environmental Science
Energy
Business, Management and Accounting
Economics, Econometrics and Finance
Chemical Engineering
",
"Kiani, Masoud",57219239303,1,"Engineering
Computer Science
",
"Babazadeh, Hamed",15836751600,26,"Engineering
Physics and Astronomy
Energy
Chemical Engineering
Mathematics
Materials Science
Environmental Science
Chemistry
Computer Science
Business, Management and Accounting
",
"Alizadeh, Reza",57202321020,1,"Mathematics
Engineering
Computer Science
Chemical Engineering
",
"Najafi, T.",56638403100,1,"Engineering
Earth and Planetary Sciences
",
"Rahgoshay, S. M.",56429257400,45,"Energy
Physics and Astronomy
Engineering
Environmental Science
Mathematics
Medicine
Chemical Engineering
Materials Science
Multidisciplinary
Chemistry
Social Sciences
Computer Science
",
"Outokesh, Masoud",57214457403,2,"Energy
Physics and Astronomy
Chemistry
",
"Tavakol, Amirsina",57206720881,1,"Engineering
",
"Hosseini, Seyed Samad",57206563918,1,"Materials Science
Physics and Astronomy
Chemistry
",
"Mohsenzedh, Afshin",36165228700,1,"Energy
",
"Hassasi, Shima",57292162600,1,"Chemistry
",
"Mohsenian, Hamed",57006741900,4,"Energy
Materials Science
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Engineering
Chemistry
",
"Hesari, Maryam",57193813103,2,"Computer Science
Physics and Astronomy
Engineering
Materials Science
Neuroscience
",
"Shamlooei, M.",57193453095,11,"Physics and Astronomy
Energy
Engineering
Chemistry
Materials Science
Chemical Engineering
Mathematics
",
"Jouzizadeh, Mojtaba",57209564956,3,"Neuroscience
Pharmacology, Toxicology and Pharmaceutics
",
"Babaei, Vahid",57203696722,1,"Chemistry
",
"Karami, Hadi",55880807000,1,"Mathematics
",
"Keramati, Mona",57206165185,1,"Physics and Astronomy
Materials Science
",
"Heydari, F.",57062700200,4,"Engineering
Mathematics
Computer Science
Materials Science
",
"Motlagh, Batebi",55413490900,1,"Agricultural and Biological Sciences
Materials Science
",
"Khazaee, A. M.",57202439849,1,"Engineering
Energy
Chemical Engineering
",
"Delavar, A.",21733608200,1,"Engineering
",
"Momeni, Maryam",34973194700,7,"Mathematics
Energy
Engineering
Computer Science
Physics and Astronomy
Chemical Engineering
Earth and Planetary Sciences
",
"Gholami, Omid",25654769600,7,"Energy
Engineering
Mathematics
Business, Management and Accounting
Physics and Astronomy
Chemical Engineering
Agricultural and Biological Sciences
Chemistry
Computer Science
",
"Ardahaie, S. Saedi",57197785125,7,"Energy
Engineering
Chemical Engineering
Business, Management and Accounting
Environmental Science
Medicine
",
"Fattah, M.",57189601065,1,"Mathematics
",
"Ezoji, Mehdi",14319123400,36,"Computer Science
Engineering
Physics and Astronomy
Earth and Planetary Sciences
Environmental Science
Mathematics
Medicine
Materials Science
Chemical Engineering
",
"Heidarzadeh, Habibollah",55325057800,2,"Energy
Mathematics
Chemical Engineering
",
"Ezoji, Hosein",57201637466,3,"Engineering
Energy
Physics and Astronomy
Environmental Science
Chemistry
Mathematics
",
"Bayani, Rasoul",57189708502,3,"Engineering
Environmental Science
",
"Sam-Khaniani, Ali",55078206600,10,"Earth and Planetary Sciences
Physics and Astronomy
Engineering
Environmental Science
Agricultural and Biological Sciences
",
"Adabi Firouzjaee, J.",57201665909,1,"Engineering
",
"Haghparast, N.",23972745700,2,"Physics and Astronomy
Multidisciplinary
",
"Haghighi, Farshidreza",35068023300,16,"Engineering
Social Sciences
Environmental Science
Medicine
Psychology
Physics and Astronomy
Materials Science
Chemistry
Computer Science
",
"Zahedi Tajrishi, Fatemeh",55991931200,2,"Engineering
Environmental Science
",
"Hosseini, Seyyed Mehdi",55640196500,24,"Engineering
Energy
Computer Science
Mathematics
Business, Management and Accounting
Environmental Science
Physics and Astronomy
Materials Science
Chemical Engineering
Social Sciences
",
"Akbari, Saina",57218545651,2,"Materials Science
Chemistry
Chemical Engineering
",
"Yazdi, Mohammad",57210406709,19,"Physics and Astronomy
Materials Science
Engineering
Computer Science
Energy
Mathematics
",
"Ghoreyshib, A. A.",55549231000,1,"Engineering
",
"Amini-Rad, Hasan",54895122000,8,"Environmental Science
Chemical Engineering
Earth and Planetary Sciences
Economics, Econometrics and Finance
Engineering
Business, Management and Accounting
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
Agricultural and Biological Sciences
",
"Kalantari, Iman",55320616400,2,"Engineering
Physics and Astronomy
Materials Science
",
"Gholampour, Amir",57192892779,2,"Physics and Astronomy
Medicine
Health Professions
",0000-0002-4016-3846
"Tavakoli, Sady",55567256400,8,"Engineering
Environmental Science
Physics and Astronomy
Chemical Engineering
Energy
Mathematics
Materials Science
Computer Science
",
"Domiri Ganji, Davood",57210461969,6,"Engineering
Chemical Engineering
Physics and Astronomy
Chemistry
Mathematics
",
"Tardast, Ali",51663961800,9,"Chemical Engineering
Environmental Science
Energy
Multidisciplinary
Chemistry
",
"Hoseini, S. Farzaneh",57207987676,3,"Engineering
Energy
Chemical Engineering
",
"Jahanshahi, Mojtaba",57216705980,3,"Engineering
Physics and Astronomy
Energy
Computer Science
Materials Science
Chemical Engineering
Mathematics
Chemistry
",
"Hajian, R.",57212490591,1,"Engineering
",
"Mirza Goltabar Roshan, Alireza",57192108318,1,"Engineering
Environmental Science
",
"Jafarishiadeh, Fatemeh",57208129150,1,"Engineering
Energy
Computer Science
",
"Jazayeri, Hamid",57189899146,1,"Engineering
Computer Science
",
"Sangsereki, Mehdi Kazemi",36806489200,1,"Engineering
",
"Larimi, Morsal Momeni",56095450900,9,"Engineering
Physics and Astronomy
Materials Science
Chemistry
Computer Science
Mathematics
Medicine
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
",
"Taghipour, Javad",55602408200,13,"Engineering
Mathematics
Computer Science
Physics and Astronomy
Multidisciplinary
Chemical Engineering
",
"Naghipour, Morteza",6506301096,49,"Engineering
Materials Science
Environmental Science
Physics and Astronomy
Earth and Planetary Sciences
Business, Management and Accounting
Multidisciplinary
Agricultural and Biological Sciences
Mathematics
Computer Science
",
"Yahyazadeh, Hossein",57207670520,2,"Engineering
Energy
Chemical Engineering
Multidisciplinary
",
"Kani, AbdolMajid",36168120900,5,"Engineering
Mathematics
Materials Science
",
"Molaei Raisi, Elias",55947817800,5,"Engineering
Materials Science
Environmental Science
",0000-0003-2998-9388
"Rakhtala Rostami, Seyed Mehdi",35932628200,2,"Engineering
Energy
",
"Pashai, Ehsan",57198887843,2,"Biochemistry, Genetics and Molecular Biology
Engineering
",
"Mohammadpour, Lliya",57210947153,1,"Engineering
Environmental Science
",
"Amouei, A.",57193548111,5,"Engineering
Medicine
Computer Science
Environmental Science
Chemical Engineering
Chemistry
",
"Rezvani, Azita",57220467129,2,"Chemistry
Biochemistry, Genetics and Molecular Biology
",
"Amirchoupani, Pouya",57217594113,2,"Engineering
Earth and Planetary Sciences
Materials Science
",
"Jafari, Navid",57189701906,1,"Engineering
",
"Janalizadeh Choobbasti, Asskar",24066345800,86,"Earth and Planetary Sciences
Engineering
Environmental Science
Materials Science
Social Sciences
Agricultural and Biological Sciences
Multidisciplinary
Physics and Astronomy
Chemistry
Computer Science
Arts and Humanities
Mathematics
",
"Ranjbar N, A.",55666437600,4,"Mathematics
Physics and Astronomy
Computer Science
",
"Bakeri, Gh",23090494700,47,"Chemical Engineering
Chemistry
Materials Science
Environmental Science
Engineering
Biochemistry, Genetics and Molecular Biology
Energy
Physics and Astronomy
Immunology and Microbiology
",
"Adabi, Hanieh",57212526844,1,"Decision Sciences
Engineering
Business, Management and Accounting
",
"Alizadeh, Fatemeh",57214343639,1,"Mathematics
",
"Sabet, Mohammad Taghi",56385345400,6,"Engineering
Mathematics
Computer Science
Environmental Science
",
"Ahmadi Atouei, Saeed",56703409600,5,"Energy
Engineering
Environmental Science
Physics and Astronomy
",
"Davoudi, Nader",57204470103,2,"Earth and Planetary Sciences
Environmental Science
",
"Yousefi, Ehsan",57194216946,2,"Agricultural and Biological Sciences
Engineering
Energy
Computer Science
",
"Abbaszadeh, Nariman",57225155025,1,"Engineering
Physics and Astronomy
Materials Science
Chemistry
Computer Science
",
"Habibi-Kouchaksaraei, Mitra",57200090960,1,"Mathematics
",
"Mohammadi Daniali, Hamid Reza",55925799600,14,"Engineering
Computer Science
Materials Science
Mathematics
Arts and Humanities
Environmental Science
Decision Sciences
Energy
Social Sciences
",
"Safaeian, Davood",12143470000,4,"Engineering
Computer Science
Mathematics
Multidisciplinary
",
"Bozorgnezhad, Fatemeh",57209985134,1,"Decision Sciences
Engineering
Business, Management and Accounting
",
"Yosefi Kebria, Dariush",57204915212,1,"Environmental Science
",
"Khavaji, A.",55504112600,1,"Engineering
",
"Masoomi, Mobin",57222727064,2,"Environmental Science
Engineering
Energy
Social Sciences
",
"Heidari, G.",57211267096,1,"Engineering
",
"Kafshgari, Leila Asadi",57193653347,4,"Materials Science
Physics and Astronomy
Chemistry
Chemical Engineering
",
"Hoseinali Beigy, M.",56009618500,1,"Engineering
",
"Jamshidi, F.",57217079054,1,"Engineering
Materials Science
",
"Salmaniyeh, F.",57063405400,1,"Physics and Astronomy
Chemical Engineering
",
"Mortazavian, Narmin",28767923400,3,"Physics and Astronomy
Materials Science
Chemical Engineering
",
"Aghaiy, Ziba",56830547100,1,"Chemical Engineering
Chemistry
",
"Sharifi, Mina",57219421469,1,"Physics and Astronomy
Engineering
Materials Science
",
"Hasanzadeh, Ali",56315295500,8,"Engineering
Materials Science
Earth and Planetary Sciences
Physics and Astronomy
Agricultural and Biological Sciences
Environmental Science
Chemistry
",0000-0001-5546-0950
"Rahbari, Hossein",55605829600,1,"Materials Science
",
"Salehi, Setareh",57201881408,2,"Chemical Engineering
Energy
Environmental Science
Engineering
Chemistry
",
"Ghahremani, A.",57212608856,1,"Engineering
Social Sciences
",
"Alireza, Khosravi",52263305700,1,"Business, Management and Accounting
",
"Tupchi, Yashar",36026892600,1,"Multidisciplinary
",
"Karamnezhad, R.",55355173100,1,"Engineering
",
"Raei, Meysam",57211458840,1,"Engineering
Physics and Astronomy
",
"Amirsoleymani, Mehrshad",57202536356,1,"Physics and Astronomy
Chemical Engineering
",
"Razi, Sara",57205584143,1,"Computer Science
Engineering
Mathematics
Decision Sciences
",
"Rohollahtabar, Reza",55617914100,1,"Energy
",
"Heidari, Masome",55088863400,1,"Physics and Astronomy
Engineering
Chemical Engineering
",
"Naeimi, Hessamedin",57198070160,1,"Energy
",
Gholamreza Faghani,57218177937,1,"Chemistry
Materials Science
",
"Hashemian, S. H.",57212172269,1,"Engineering
Physics and Astronomy
Materials Science
",
"Faghani, Gholamreza",57201285811,7,"Materials Science
Engineering
Energy
",
"Eghtesadi, Maral",36486257400,1,"Materials Science
Chemistry
",
"Babagolzadeh, M.",57214485026,1,"Mathematics
",
"Purrezagholi, Mohammad",36715349000,1,"Engineering
Computer Science
Social Sciences
",
"Taghavijeloudar, Mohsen",57205163301,4,"Environmental Science
Energy
Business, Management and Accounting
Economics, Econometrics and Finance
Chemical Engineering
Engineering
",
"Sayadi, Mina",57220432886,2,"Engineering
Energy
Business, Management and Accounting
Environmental Science
",
"Masoumi, Payam",35793884400,1,"Computer Science
",
"Kiani, Abbas",56861911900,8,"Computer Science
Earth and Planetary Sciences
Social Sciences
Physics and Astronomy
Engineering
Environmental Science
Mathematics
",
"Rasoulpoor, Masoumeh",55641802000,8,"Engineering
Energy
Mathematics
Computer Science
Physics and Astronomy
Social Sciences
",
"Mohammadpour, Moein",57206507825,1,"Mathematics
",
"Hossein Ali Beigy, Morteza",56199321400,1,"Engineering
Physics and Astronomy
Earth and Planetary Sciences
",
"Dadashizadeh Samakosh, Jaber",57205556928,3,"Engineering
Physics and Astronomy
Energy
Computer Science
",
"Taghipour, Zahra",57197786878,3,"Engineering
Chemistry
",
"Ganji, A. R.D.",57225817836,1,"Energy
Engineering
",
"Roodposhti, Maytham Allahi",57214821754,1,"Computer Science
Decision Sciences
",
"Jalalpour, Majid",57188762006,2,"Computer Science
Materials Science
Physics and Astronomy
Engineering
",
"Darvishi, Reza",57199645760,2,"Engineering
",
"Joneidi, M. H.",57195202780,2,"Engineering
Energy
Chemical Engineering
",
"Hashemiyeh, Babak",26221333900,2,"Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Immunology and Microbiology
Chemical Engineering
",
"Afrasyab, Hamed",57210818404,1,"Engineering
",
"Hoseinipour, Seyed Jamal",37019863200,4,"Engineering
Physics and Astronomy
",
"Alijanpour Sheshpoli, Mohamad",57201899589,2,"Engineering
Physics and Astronomy
Chemistry
Environmental Science
",
"Hedayatpour, Mehdi",55328640600,1,"Physics and Astronomy
Chemical Engineering
",
"Mianaei, Peyman Khorshidian",57226465895,2,"Physics and Astronomy
Social Sciences
Engineering
Energy
Biochemistry, Genetics and Molecular Biology
Chemistry
Computer Science
",
"Zakeri, Second B Bijan",55602140300,1,"Computer Science
",
"Fallah, Parisa",57224127136,1,"Engineering
",
"Ghasemi, Amirhosein Hossein",55584791343,3,"Engineering
Physics and Astronomy
Materials Science
Chemistry
",
"Shafaghat, Mahdi",57258431100,1,"Environmental Science
Earth and Planetary Sciences
",
"Askarian-Amiri, Fatemeh",57222253173,1,"Mathematics
Computer Science
Decision Sciences
",
"Adhami, Arash",57225262081,1,"Engineering
",
"Jamali, Milad",57211534027,2,"Engineering
Physics and Astronomy
Materials Science
",
"Darzipour, Maryam",57212111647,1,"Chemistry
Chemical Engineering
",
"Alizadeh, Elham",57213443678,6,"Engineering
Materials Science
Mathematics
Biochemistry, Genetics and Molecular Biology
",
"Goldoust, Aminc",57209911742,1,"Physics and Astronomy
Engineering
Chemical Engineering
",
"Neya, Bahram Navayi",57219846008,3,"Engineering
Physics and Astronomy
Computer Science
Earth and Planetary Sciences
Materials Science
Mathematics
",
"Bahramizadeh, Ebrahim",57209420267,2,"Materials Science
Engineering
Physics and Astronomy
Chemistry
",
"Mousavi, Nafise",45261267200,4,"Environmental Science
Engineering
",
"Banafti, Shahin",57215078692,2,"Engineering
Physics and Astronomy
Materials Science
Agricultural and Biological Sciences
Chemistry
",
"Pourshahsavari, Hadi",57070360400,1,"Mathematics
",
"Gorjl, M.",35271671200,1,"Mathematics
",
"Noudeh, Sina Mohammadrezaei",55320295900,2,"Computer Science
Mathematics
Engineering
Energy
",
"Danyali, Hamidreza Mohamadi",55605835400,2,"Computer Science
Mathematics
",
"Kolaei, Zahra Taghipour",52364292700,2,"Materials Science
Engineering
Chemical Engineering
",
"Hosseini Abbandanak, Maryam",57220875701,1,"Energy
Physics and Astronomy
",
"Niak, Kia Moghaddas",57216521157,1,"Engineering
Materials Science
",
"Shabannia, Reza",55513251800,20,"Engineering
Physics and Astronomy
Materials Science
Chemistry
Chemical Engineering
Earth and Planetary Sciences
Mathematics
Agricultural and Biological Sciences
",
"Tabatabaei Shirazani, Mohammadreza",57216521158,1,"Environmental Science
Chemical Engineering
",
"Eisazadeh, Neda",57221765008,2,"Materials Science
Chemistry
Earth and Planetary Sciences
Chemical Engineering
",
"Pajaei, Hasan Sharifi",55323966700,1,"Chemistry
",
"Nasiri, Mina",57225115013,1,"Environmental Science
",
"Gholipour, Alireza",55982956900,1,"Engineering
",
"Tarassodi, Pouya",57191835415,3,"Engineering
Mathematics
",
"Mehri, Ali",35170588700,17,"Physics and Astronomy
Mathematics
Materials Science
Engineering
Computer Science
Immunology and Microbiology
Medicine
Energy
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Chemistry
",0000-0002-7028-0461
"Taleshi Anbouhi, Abbas",57202301830,1,"Engineering
",
"Naseri, Ali",57218628006,3,"Engineering
Materials Science
",
"Shahbahrami, B.",57323211100,1,"Engineering
",
"Zakeri, Bijan Gatabi",24448938200,65,"Engineering
Computer Science
Physics and Astronomy
Mathematics
Materials Science
Earth and Planetary Sciences
Decision Sciences
Social Sciences
Neuroscience
",
"Zakeritabar, Seyedeh Fatemeh",57200328179,3,"Environmental Science
Immunology and Microbiology
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Chemistry
Medicine
",
"Raveshi, Masoud",57193693822,1,"Earth and Planetary Sciences
Agricultural and Biological Sciences
Engineering
",
"Azimi, Hanieh",57224464406,1,"Engineering
Physics and Astronomy
Materials Science
",
"Zareh, H.",57193874091,1,"Chemical Engineering
",
"Sobhani, Reza",57211669717,1,"Engineering
Energy
",
"Yousefi Kebria, Daryoush",26768408200,21,"Environmental Science
Chemistry
Engineering
Physics and Astronomy
Materials Science
Agricultural and Biological Sciences
Chemical Engineering
Earth and Planetary Sciences
Energy
",
"Kammi, Sonay",54389303400,5,"Computer Science
Social Sciences
Arts and Humanities
Physics and Astronomy
Mathematics
Engineering
",
"Marashi, Seyed Maziar",57195355953,5,"Engineering
Energy
Physics and Astronomy
Social Sciences
Decision Sciences
",
"Ataollahi, Abolfazl",57217232235,1,"Physics and Astronomy
Materials Science
",
"Abaspour, S.",57211550539,1,"Mathematics
",
"Mohammadi, Mohsen",57217546489,1,"Engineering
Energy
",
"Miri, Seyed Jalal",56023118400,3,"Energy
Environmental Science
",
"Darabi, Rezvaneh Ramezani",57194520643,3,"Chemical Engineering
Chemistry
",
"Rabeti, Masoud",57215603060,2,"Physics and Astronomy
Energy
Chemistry
",
"Atouei, Saeed Ahmadi",57214364989,1,"Energy
Materials Science
",
"MansourLakouraj, Mohammad",57216258995,8,"Engineering
Energy
Environmental Science
Mathematics
Computer Science
Decision Sciences
Business, Management and Accounting
",
"Shoshpash, Issa",57209498024,1,"Engineering
Materials Science
",
"Abazarian, Arman",57190801683,1,"Physics and Astronomy
Chemical Engineering
",
"Alashti, Naghmeh Jamshidi",56095878300,1,"Engineering
Materials Science
",
"Nateri, Mojtaba Shams",54896350800,6,"Computer Science
Engineering
Physics and Astronomy
Materials Science
Mathematics
",
"Navaei, Mostafa Kazemi",56167027500,1,"Mathematics
",
"Morteza, Miansari",57216828642,1,"Physics and Astronomy
",
"Eskandari, Mahmoud",57208051605,1,"Engineering
Business, Management and Accounting
Decision Sciences
",
"Oliaee, Mohammad Amin",57220177727,2,"Environmental Science
Agricultural and Biological Sciences
Engineering
Chemical Engineering
",
"Hosseinian, Maliheh",57210913325,2,"Chemistry
",
"Khoshguian, Saeid",37102126000,1,"Multidisciplinary
",
"Ghorbanpour, Payam",57224442685,2,"Environmental Science
Materials Science
Chemistry
",
"Karbaschi, Nima",57240033400,1,"Engineering
Materials Science
Computer Science
",
"Safaiee, Pedram",57211272834,1,"Materials Science
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Engineering
Chemistry
",
"Zarinkolaei, Seyed Taher Ghoreyshi",56951084700,1,"Earth and Planetary Sciences
Environmental Science
",
"Emadi, Amir Ali",57357604700,1,"Engineering
Materials Science
",
"Rasouli, O.",57190376494,1,"Physics and Astronomy
Engineering
Chemical Engineering
",
"Pakrouh, R.",56663250500,9,"Engineering
Energy
Environmental Science
Chemical Engineering
Mathematics
",0000-0002-8210-7869
"Zabihi Sheshpoli, Amirhossein",57213820854,3,"Engineering
Physics and Astronomy
Energy
Materials Science
Chemical Engineering
Mathematics
",
"Tourani, S.",57189845731,1,"Physics and Astronomy
",
"Dayyan, Morteza",55883916100,3,"Engineering
Mathematics
",
"Dehestani, Pouya",55953952900,4,"Engineering
Materials Science
",
"Hassaninejad-Darzi, Seyed Karim",56287062800,26,"Chemistry
Energy
Environmental Science
Engineering
Physics and Astronomy
Materials Science
Chemical Engineering
Medicine
Agricultural and Biological Sciences
Earth and Planetary Sciences
Pharmacology, Toxicology and Pharmaceutics
Mathematics
",0000-0002-9697-0874
"Yousefi, Abdorreza",57219092995,1,"Engineering
",
"Seyyedi-Andi, Hosein",54897966800,1,"Computer Science
",
"Ledari, Dorna Gholamzade",57278127300,1,"Agricultural and Biological Sciences
Earth and Planetary Sciences
Environmental Science
",
"Mahdi, Zahra Sadat",57219599034,1,"Chemistry
",
"Heydari, S.",57212238934,1,"Engineering
Materials Science
Environmental Science
",
"Ghafouri, S.",56539776700,1,"Physics and Astronomy
Chemistry
Materials Science
",
"Heidarpoor, Farnaz",57217975136,2,"Mathematics
Medicine
Dentistry
",
"Namar, Mohammad Mostafa",57196479574,7,"Engineering
Energy
Physics and Astronomy
Chemistry
Materials Science
Computer Science
",0000-0002-2161-8948
"Akbari, Abbas",57189367619,4,"Engineering
Materials Science
Mathematics
",
"Ebrhimzadeh, A.",36503760600,1,"Multidisciplinary
",
"Aghamahalli, Ali Taghadosi",57199507604,1,"Physics and Astronomy
Engineering
Materials Science
Computer Science
",
"Hejazi, F.",57210821620,1,"Agricultural and Biological Sciences
Energy
Environmental Science
",
"Shahiri, Mostafa",57189047069,2,"Computer Science
Mathematics
",
"Ghoreishi, Hoda",56685677900,1,"Engineering
Energy
",
"Zaretabar, Mohsen",57198434323,2,"Mathematics
Engineering
Energy
",
